comment,cleaned_comment,tokenized_comment,stopwords_comment,stemmed_comment,cleaned_stemmed,sentiment_prediction
kasihan rocky dibentak bentak karena bilang orang bodoh.kwkwkwk...,kasihan rocky dibentak bentak karena bilang orang bodoh kwkwkwk,"['kasihan', 'rocky', 'dibentak', 'bentak', 'karena', 'bilang', 'orang', 'bodoh', 'kwkwkwk']","['kasihan', 'rocky', 'dibentak', 'bentak', 'bilang', 'orang', 'bodoh', 'kwkwkwk']","['kasihan', 'rocky', 'bentak', 'bentak', 'bilang', 'orang', 'bodoh', 'kwkwkwk']",kasihan rocky bentak bentak bilang orang bodoh kwkwkwk,negative
"Rocky Gerung sangat berguna bagi anak anak bangsa yang masih punya AKAL SEHAT.
CHICO HAKIM membongkar Silfester baru lulus kuliah tahun 2020 dari kampus abal-abal, Universitas WIRASWASTA INDONESIA yang  sudah ditutup DikTi karena melakukan pelanggaran berat.",rocky gerung sangat berguna bagi anak anak bangsa yang masih punya akal sehat chico hakim membongkar silfester baru lulus kuliah tahun dari kampus abal abal universitas wiraswasta indonesia yang sudah ditutup dikti karena melakukan pelanggaran berat,"['rocky', 'gerung', 'sangat', 'berguna', 'bagi', 'anak', 'anak', 'bangsa', 'yang', 'masih', 'punya', 'akal', 'sehat', 'chico', 'hakim', 'membongkar', 'silfester', 'baru', 'lulus', 'kuliah', 'tahun', 'dari', 'kampus', 'abal', 'abal', 'universitas', 'wiraswasta', 'indonesia', 'yang', 'sudah', 'ditutup', 'dikti', 'karena', 'melakukan', 'pelanggaran', 'berat']","['rocky', 'gerung', 'berguna', 'anak', 'anak', 'bangsa', 'akal', 'sehat', 'chico', 'hakim', 'membongkar', 'silfester', 'lulus', 'kuliah', 'kampus', 'abal', 'abal', 'universitas', 'wiraswasta', 'indonesia', 'ditutup', 'dikti', 'pelanggaran', 'berat']","['rocky', 'gerung', 'guna', 'anak', 'anak', 'bangsa', 'akal', 'sehat', 'chico', 'hakim', 'bongkar', 'silfester', 'lulus', 'kuliah', 'kampus', 'abal', 'abal', 'universitas', 'wiraswasta', 'indonesia', 'tutup', 'dikti', 'langgar', 'berat']",rocky gerung guna anak anak bangsa akal sehat chico hakim bongkar silfester lulus kuliah kampus abal abal universitas wiraswasta indonesia tutup dikti langgar berat,negative
"Ini debat apa tanya jawab sih.. 
Rocky rocky",ini debat apa tanya jawab sih rocky rocky,"['ini', 'debat', 'apa', 'tanya', 'jawab', 'sih', 'rocky', 'rocky']","['debat', 'sih', 'rocky', 'rocky']","['debat', 'sih', 'rocky', 'rocky']",debat sih rocky rocky,negative
"Saya sudah S2 tapi saya banyak  dapat ilmu dari Chanel yg menayangkan debat, atau kajian dari RG",saya sudah tapi saya banyak dapat ilmu dari chanel yang menayangkan debat atau kajian dari rocky gerung,"['saya', 'sudah', 'tapi', 'saya', 'banyak', 'dapat', 'ilmu', 'dari', 'chanel', 'yang', 'menayangkan', 'debat', 'atau', 'kajian', 'dari', 'rocky', 'gerung']","['ilmu', 'chanel', 'menayangkan', 'debat', 'kajian', 'rocky', 'gerung']","['ilmu', 'chanel', 'tayang', 'debat', 'kaji', 'rocky', 'gerung']",ilmu chanel tayang debat kaji rocky gerung,negative
"Yang satunya konyol, yang satunya sombong",yang satunya konyol yang satunya sombong,"['yang', 'satunya', 'konyol', 'yang', 'satunya', 'sombong']","['satunya', 'konyol', 'satunya', 'sombong']","['satu', 'konyol', 'satu', 'sombong']",satu konyol satu sombong,negative
"Penjilat disebut Penjilat 
Marah 
Aneh",penjilat disebut penjilat marah aneh,"['penjilat', 'disebut', 'penjilat', 'marah', 'aneh']","['penjilat', 'penjilat', 'marah', 'aneh']","['jilat', 'jilat', 'marah', 'aneh']",jilat jilat marah aneh,negative
Beda kelas coy......,beda kelas coy,"['beda', 'kelas', 'coy']","['beda', 'kelas', 'coy']","['beda', 'kelas', 'coy']",beda kelas coy,negative
"Dzolim.itu bukan kata org tapi kata Lu, .......ngomong ke san ke sana kemari",dzolim itu bukan kata orang tapi kata anda ngomong ke san ke sana kemari,"['dzolim', 'itu', 'bukan', 'kata', 'orang', 'tapi', 'kata', 'anda', 'ngomong', 'ke', 'san', 'ke', 'sana', 'kemari']","['dzolim', 'orang', 'ngomong', 'san', 'kemari']","['dzolim', 'orang', 'ngomong', 'san', 'kemari']",dzolim orang ngomong san kemari,negative
Pokoknya bung rocky cerdas dan membuat rakyat menjadi cerdas. Yang membuat rakyat jadi bodoh itu adalah PDI perjuangan.,pokoknya bung rocky cerdas dan membuat rakyat menjadi cerdas yang membuat rakyat jadi bodoh itu adalah pdi perjuangan,"['pokoknya', 'bung', 'rocky', 'cerdas', 'dan', 'membuat', 'rakyat', 'menjadi', 'cerdas', 'yang', 'membuat', 'rakyat', 'jadi', 'bodoh', 'itu', 'adalah', 'pdi', 'perjuangan']","['pokoknya', 'rocky', 'cerdas', 'rakyat', 'cerdas', 'rakyat', 'bodoh', 'pdi', 'perjuangan']","['pokok', 'rocky', 'cerdas', 'rakyat', 'cerdas', 'rakyat', 'bodoh', 'pdi', 'juang']",pokok rocky cerdas rakyat cerdas rakyat bodoh pdi juang,negative
"Dakjal akan selalu berbelit2 bersembunyi di ketiak teori, tanpa di dasari fakta",dakjal akan selalu berbelit bersembunyi di ketiak teori tanpa di dasari fakta,"['dakjal', 'akan', 'selalu', 'berbelit', 'bersembunyi', 'di', 'ketiak', 'teori', 'tanpa', 'di', 'dasari', 'fakta']","['dakjal', 'berbelit', 'bersembunyi', 'ketiak', 'teori', 'dasari', 'fakta']","['dakjal', 'belit', 'sembunyi', 'ketiak', 'teori', 'dasar', 'fakta']",dakjal belit sembunyi ketiak teori dasar fakta,negative
Lagi2 Bung Rocky ! Kami pedulung Bung Rocky  yg pada pikiran waras normal tenang aja Bung  ğŸ‘ğŸ’ªğŸ™ğŸ¤²ğŸ¤²ğŸ¤²,lagi bung rocky kami pedulung bung rocky yang pada pikiran waras normal tenang saja bung,"['lagi', 'bung', 'rocky', 'kami', 'pedulung', 'bung', 'rocky', 'yang', 'pada', 'pikiran', 'waras', 'normal', 'tenang', 'saja', 'bung']","['rocky', 'pedulung', 'rocky', 'pikiran', 'waras', 'normal', 'tenang']","['rocky', 'pedulung', 'rocky', 'pikir', 'waras', 'normal', 'tenang']",rocky pedulung rocky pikir waras normal tenang,neutral
Mana yang nonton seindonesia ğŸ˜‚ğŸ˜‚ğŸ˜‚,mana yang nonton seindonesia,"['mana', 'yang', 'nonton', 'seindonesia']","['nonton', 'seindonesia']","['nonton', 'indonesia']",nonton indonesia,neutral
Yang lain mau ikut debat tapi takut ğŸ˜‚,yang lain mau ikut debat tapi takut,"['yang', 'lain', 'mau', 'ikut', 'debat', 'tapi', 'takut']","['debat', 'takut']","['debat', 'takut']",debat takut,neutral
"tenang nya luar biasa bung rockyy, menyala panutanku ğŸ‘ğŸ‘",tenang nya luar biasa bung rockyy menyala panutanku,"['tenang', 'nya', 'luar', 'biasa', 'bung', 'rockyy', 'menyala', 'panutanku']","['tenang', 'rockyy', 'menyala', 'panutanku']","['tenang', 'rockyy', 'nyala', 'panutan']",tenang rockyy nyala panutan,neutral
nemu 2 kata super lucu di sini ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£,nemu kata super lucu di sini,"['nemu', 'kata', 'super', 'lucu', 'di', 'sini']","['nemu', 'super', 'lucu']","['nemu', 'super', 'lucu']",nemu super lucu,neutral
"*anda siapa, anda siapa, anda nothing* bahasa templated anak tektok, basi achh.",anda siapa anda siapa anda nothing bahasa templated anak tektok basi achh,"['anda', 'siapa', 'anda', 'siapa', 'anda', 'nothing', 'bahasa', 'templated', 'anak', 'tektok', 'basi', 'achh']","['nothing', 'bahasa', 'templated', 'anak', 'tektok', 'basi', 'achh']","['nothing', 'bahasa', 'templated', 'anak', 'tektok', 'basi', 'achh']",nothing bahasa templated anak tektok basi achh,neutral
ig dia spa?,ig dia spa,"['ig', 'dia', 'spa']","['ig', 'spa']","['ig', 'spa']",ig spa,neutral
Ngapai di sensor takut KPI,ngapai di sensor takut kpi,"['ngapai', 'di', 'sensor', 'takut', 'kpi']","['ngapai', 'sensor', 'takut', 'kpi']","['ngapai', 'sensor', 'takut', 'kpi']",ngapai sensor takut kpi,neutral
Anda siapa? #@##@)&$Anda nothing? ğŸ˜®ğŸ˜®!,anda siapa anda nothing,"['anda', 'siapa', 'anda', 'nothing']",['nothing'],['nothing'],nothing,neutral
"kan sudah jelas, perjanjian harus di ucapkan.",kan sudah jelas perjanjian harus di ucapkan,"['kan', 'sudah', 'jelas', 'perjanjian', 'harus', 'di', 'ucapkan']","['perjanjian', 'ucapkan']","['janji', 'ucap']",janji ucap,neutral
Silvester kosong.. Nothing,silfester kosong nothing,"['silfester', 'kosong', 'nothing']","['silfester', 'kosong', 'nothing']","['silfester', 'kosong', 'nothing']",silfester kosong nothing,neutral
Mau komen tp takut kenak delik,mau komentar tapi takut kenak delik,"['mau', 'komentar', 'tapi', 'takut', 'kenak', 'delik']","['komentar', 'takut', 'kenak', 'delik']","['komentar', 'takut', 'nak', 'delik']",komentar takut nak delik,neutral
Anies pas debat nyerang pribadi ğŸ˜®,anies pas debat nyerang pribadi,"['anies', 'pas', 'debat', 'nyerang', 'pribadi']","['anies', 'pas', 'debat', 'nyerang', 'pribadi']","['anies', 'pas', 'debat', 'nyerang', 'pribadi']",anies pas debat nyerang pribadi,neutral
Kaum 58 memang zonk,kaum memang zonk,"['kaum', 'memang', 'zonk']","['kaum', 'zonk']","['kaum', 'zonk']",kaum zonk,neutral
"Silv ; anda (rg) nothing, pak jokowi 1000x lipat dr anda (rg) = nothing (0)x1000 = 0 secara ga lgs silv menilai jkw juga 0 aka kosong ğŸ˜…",silv anda rocky gerung nothing pak jokowi lipat dari anda rocky gerung nothing secara tidak lgs silv menilai jkw juga aka kosong,"['silv', 'anda', 'rocky', 'gerung', 'nothing', 'pak', 'jokowi', 'lipat', 'dari', 'anda', 'rocky', 'gerung', 'nothing', 'secara', 'tidak', 'lgs', 'silv', 'menilai', 'jkw', 'juga', 'aka', 'kosong']","['silv', 'rocky', 'gerung', 'nothing', 'jokowi', 'lipat', 'rocky', 'gerung', 'nothing', 'lgs', 'silv', 'menilai', 'jkw', 'aka', 'kosong']","['silv', 'rocky', 'gerung', 'nothing', 'jokowi', 'lipat', 'rocky', 'gerung', 'nothing', 'lgs', 'silv', 'nilai', 'jkw', 'aka', 'kosong']",silv rocky gerung nothing jokowi lipat rocky gerung nothing lgs silv nilai jkw aka kosong,neutral
Betul.. Rg is nothing.... Dia hanya omon omon..,betul rocky gerung is nothing dia hanya omon omon,"['betul', 'rocky', 'gerung', 'is', 'nothing', 'dia', 'hanya', 'omon', 'omon']","['rocky', 'gerung', 'nothing', 'omon', 'omon']","['rocky', 'gerung', 'nothing', 'omon', 'omon']",rocky gerung nothing omon omon,neutral
Nggak punya istri kok di bilang lelaki jantan ?,tidak punya istri kok di bilang lelaki jantan,"['tidak', 'punya', 'istri', 'kok', 'di', 'bilang', 'lelaki', 'jantan']","['istri', 'bilang', 'lelaki', 'jantan']","['istri', 'bilang', 'lelaki', 'jantan']",istri bilang lelaki jantan,neutral
"you are nothing, Silfester !",you are nothing silfester,"['you', 'are', 'nothing', 'silfester']","['nothing', 'silfester']","['nothing', 'silfester']",nothing silfester,neutral
"bung rocky pinter menjebak,tenang gaya bicaranya,intelektual tinggi",bung rocky pinter menjebak tenang gaya bicaranya intelektual tinggi,"['bung', 'rocky', 'pinter', 'menjebak', 'tenang', 'gaya', 'bicaranya', 'intelektual', 'tinggi']","['rocky', 'pinter', 'menjebak', 'tenang', 'gaya', 'bicaranya', 'intelektual']","['rocky', 'pinter', 'jebak', 'tenang', 'gaya', 'bicara', 'intelektual']",rocky pinter jebak tenang gaya bicara intelektual,neutral
Nontonya pegel oy,nontonya pegel oy,"['nontonya', 'pegel', 'oy']","['nontonya', 'pegel', 'oy']","['nontonya', 'gel', 'oy']",nontonya gel oy,neutral
"Mana buktinya di ulang"" berkali""  
Bukti banyak tp seolah"" di tiadakan",mana buktinya di ulang berkali bukti banyak tapi seolah di tiadakan,"['mana', 'buktinya', 'di', 'ulang', 'berkali', 'bukti', 'banyak', 'tapi', 'seolah', 'di', 'tiadakan']","['buktinya', 'ulang', 'berkali', 'bukti', 'tiadakan']","['bukti', 'ulang', 'kali', 'bukti', 'tiada']",bukti ulang kali bukti tiada,neutral
"Kok masih bilang jika roky jantan  ğŸ˜ƒğŸ˜ƒğŸ˜ƒ, roky belum nikah jelas gak jantan lah",kok masih bilang jika rocky jantan rocky belum nikah jelas tidak jantan lah,"['kok', 'masih', 'bilang', 'jika', 'rocky', 'jantan', 'rocky', 'belum', 'nikah', 'jelas', 'tidak', 'jantan', 'lah']","['bilang', 'rocky', 'jantan', 'rocky', 'nikah', 'jantan']","['bilang', 'rocky', 'jantan', 'rocky', 'nikah', 'jantan']",bilang rocky jantan rocky nikah jantan,neutral
Nyesek jebakan batman ğŸ˜‚,nyesek jebakan batman,"['nyesek', 'jebakan', 'batman']","['nyesek', 'jebakan', 'batman']","['nyesek', 'jebak', 'batman']",nyesek jebak batman,neutral
RendahğŸ˜®,rendah,['rendah'],['rendah'],['rendah'],rendah,neutral
"Diukur dulu kalau mau debat berapa IQ minimal, jangan IQ 67 diajak debatğŸ˜…",diukur dulu kalau mau debat berapa iq minimal jangan iq diajak debat,"['diukur', 'dulu', 'kalau', 'mau', 'debat', 'berapa', 'iq', 'minimal', 'jangan', 'iq', 'diajak', 'debat']","['diukur', 'debat', 'iq', 'minimal', 'iq', 'diajak', 'debat']","['ukur', 'debat', 'iq', 'minimal', 'iq', 'ajak', 'debat']",ukur debat iq minimal iq ajak debat,neutral
Koyo nonton wayang kulit ğŸ˜‚ğŸ˜‚,koyo nonton wayang kulit,"['koyo', 'nonton', 'wayang', 'kulit']","['koyo', 'nonton', 'wayang', 'kulit']","['koyo', 'nonton', 'wayang', 'kulit']",koyo nonton wayang kulit,neutral
Yang nothing itu anda silfester nothing malah zonk emosian dan buta hurup,yang nothing itu anda silfester nothing malah zonk emosian dan buta hurup,"['yang', 'nothing', 'itu', 'anda', 'silfester', 'nothing', 'malah', 'zonk', 'emosian', 'dan', 'buta', 'hurup']","['nothing', 'silfester', 'nothing', 'zonk', 'emosian', 'buta', 'hurup']","['nothing', 'silfester', 'nothing', 'zonk', 'emosi', 'buta', 'hurup']",nothing silfester nothing zonk emosi buta hurup,neutral
"SAMPAI SELESAI SAYA NONTON ,GAK JUGA ADA BUKTI KELUAR ğŸ˜†ğŸ˜†ğŸ˜†",sampai selesai saya nonton tidak juga ada bukti keluar,"['sampai', 'selesai', 'saya', 'nonton', 'tidak', 'juga', 'ada', 'bukti', 'keluar']","['selesai', 'nonton', 'bukti']","['selesai', 'nonton', 'bukti']",selesai nonton bukti,neutral
NEVER TRUST POLITICIANS...,never trust politicians,"['never', 'trust', 'politicians']","['never', 'trust', 'politicians']","['never', 'trust', 'politicians']",never trust politicians,neutral
Ketinggalan nie lihat drama di indonesia,ketinggalan nie lihat drama di indonesia,"['ketinggalan', 'nie', 'lihat', 'drama', 'di', 'indonesia']","['ketinggalan', 'nie', 'lihat', 'drama', 'indonesia']","['tinggal', 'nie', 'lihat', 'drama', 'indonesia']",tinggal nie lihat drama indonesia,neutral
Lu SILFESTER dan jokowi yg ijazah nya palsu are NOTHING ğŸ˜…,anda silfester dan jokowi yang ijazah nya palsu are nothing,"['anda', 'silfester', 'dan', 'jokowi', 'yang', 'ijazah', 'nya', 'palsu', 'are', 'nothing']","['silfester', 'jokowi', 'ijazah', 'palsu', 'nothing']","['silfester', 'jokowi', 'ijazah', 'palsu', 'nothing']",silfester jokowi ijazah palsu nothing,neutral
infokan ig Abang..,infokan ig abang,"['infokan', 'ig', 'abang']","['infokan', 'ig', 'abang']","['info', 'ig', 'abang']",info ig abang,neutral
Dia sedang merendahkan dirinya sendiri,dia sedang merendahkan dirinya sendiri,"['dia', 'sedang', 'merendahkan', 'dirinya', 'sendiri']",['merendahkan'],['rendah'],rendah,neutral
Sambil ngopi nonton omonÂ²,sambil ngopi nonton omon,"['sambil', 'ngopi', 'nonton', 'omon']","['ngopi', 'nonton', 'omon']","['ngopi', 'nonton', 'omon']",ngopi nonton omon,neutral
"""Kenapa nada ngaku?""",kenapa nada ngaku,"['kenapa', 'nada', 'ngaku']","['nada', 'ngaku']","['nada', 'ngaku']",nada ngaku,neutral
Jebakan batman,jebakan batman,"['jebakan', 'batman']","['jebakan', 'batman']","['jebak', 'batman']",jebak batman,neutral
"Kebanyakan teori , doing nothing - rocky gerung",kebanyakan teori doing nothing rocky gerung,"['kebanyakan', 'teori', 'doing', 'nothing', 'rocky', 'gerung']","['kebanyakan', 'teori', 'nothing', 'rocky', 'gerung']","['banyak', 'teori', 'nothing', 'rocky', 'gerung']",banyak teori nothing rocky gerung,neutral
Rocky tenang sekali.,rocky tenang sekali,"['rocky', 'tenang', 'sekali']","['rocky', 'tenang']","['rocky', 'tenang']",rocky tenang,neutral
Yang tenang yang menang. ğŸ˜‚,yang tenang yang menang,"['yang', 'tenang', 'yang', 'menang']","['tenang', 'menang']","['tenang', 'menang']",tenang menang,neutral
Rocky nothing...wkwkwk...bakteri negara...,rocky nothing wkwkwk bakteri negara,"['rocky', 'nothing', 'wkwkwk', 'bakteri', 'negara']","['rocky', 'nothing', 'bakteri', 'negara']","['rocky', 'nothing', 'bakteri', 'negara']",rocky nothing bakteri negara,neutral
Ni org yg nothing,ini orang yang nothing,"['ini', 'orang', 'yang', 'nothing']","['orang', 'nothing']","['orang', 'nothing']",orang nothing,neutral
"Pas Debat ini Lagi Nonton live ... pas momen lgi berantam udah ku duga bakalan viral .
Ternyata benar juga pas ku cek lagi di yotubeğŸ¤£",pas debat ini lagi nonton live pas momen lgi berantam udah ku duga bakalan viral ternyata benar juga pas ku cek lagi di yotube,"['pas', 'debat', 'ini', 'lagi', 'nonton', 'live', 'pas', 'momen', 'lgi', 'berantam', 'udah', 'ku', 'duga', 'bakalan', 'viral', 'ternyata', 'benar', 'juga', 'pas', 'ku', 'cek', 'lagi', 'di', 'yotube']","['pas', 'debat', 'nonton', 'live', 'pas', 'momen', 'lgi', 'berantam', 'udah', 'ku', 'duga', 'viral', 'pas', 'ku', 'cek', 'yotube']","['pas', 'debat', 'nonton', 'live', 'pas', 'momen', 'lgi', 'rantam', 'udah', 'ku', 'duga', 'viral', 'pas', 'ku', 'cek', 'yotube']",pas debat nonton live pas momen lgi rantam udah ku duga viral pas ku cek yotube,neutral
"Dikatain rocky gerung nothing...ada2 aja lu pak, yg aku gak tau namanya",dikatain rocky gerung nothing ada saja anda pak yang aku tidak tau namanya,"['dikatain', 'rocky', 'gerung', 'nothing', 'ada', 'saja', 'anda', 'pak', 'yang', 'aku', 'tidak', 'tau', 'namanya']","['dikatain', 'rocky', 'gerung', 'nothing', 'tau', 'namanya']","['dikatain', 'rocky', 'gerung', 'nothing', 'tau', 'nama']",dikatain rocky gerung nothing tau nama,neutral
Terlihat mana yg berkelas mana yg rendahan...,terlihat mana yang berkelas mana yang rendahan,"['terlihat', 'mana', 'yang', 'berkelas', 'mana', 'yang', 'rendahan']","['berkelas', 'rendahan']","['kelas', 'rendah']",kelas rendah,neutral
Being and Nothingness itu sartre btw..bukan heidegger,being and nothingness itu sartre btw bukan heidegger,"['being', 'and', 'nothingness', 'itu', 'sartre', 'btw', 'bukan', 'heidegger']","['nothingness', 'sartre', 'btw', 'heidegger']","['nothingness', 'sartre', 'btw', 'heidegger']",nothingness sartre btw heidegger,neutral
Pasti dia nonton video dia sedungu ini,pasti dia nonton video dia sedungu ini,"['pasti', 'dia', 'nonton', 'video', 'dia', 'sedungu', 'ini']","['nonton', 'video', 'sedungu']","['nonton', 'video', 'dungu']",nonton video dungu,neutral
Terlihat ketidak mampuannya melawan dg argumentasi yg bisa dilakukan emosi disertai kekerasan. Bar bar..,terlihat ketidak mampuannya melawan dengan argumentasi yang bisa dilakukan emosi disertai kekerasan bar bar,"['terlihat', 'ketidak', 'mampuannya', 'melawan', 'dengan', 'argumentasi', 'yang', 'bisa', 'dilakukan', 'emosi', 'disertai', 'kekerasan', 'bar', 'bar']","['ketidak', 'mampuannya', 'melawan', 'argumentasi', 'emosi', 'disertai', 'kekerasan', 'bar', 'bar']","['tidak', 'mampu', 'lawan', 'argumentasi', 'emosi', 'serta', 'keras', 'bar', 'bar']",tidak mampu lawan argumentasi emosi serta keras bar bar,neutral
Seneng lihat debatğŸ˜…,seneng lihat debat,"['seneng', 'lihat', 'debat']","['seneng', 'lihat', 'debat']","['neng', 'lihat', 'debat']",neng lihat debat,neutral
Ada yang tau ga akun IG nya??,ada yang tau tidak akun ig nya,"['ada', 'yang', 'tau', 'tidak', 'akun', 'ig', 'nya']","['tau', 'akun', 'ig']","['tau', 'akun', 'ig']",tau akun ig,neutral
Menurut saya aiman kurang pas menjadi pembawa acara. Kurang tegas,menurut saya aiman kurang pas menjadi pembawa acara kurang tegas,"['menurut', 'saya', 'aiman', 'kurang', 'pas', 'menjadi', 'pembawa', 'acara', 'kurang', 'tegas']","['aiman', 'pas', 'pembawa', 'acara']","['aiman', 'pas', 'bawa', 'acara']",aiman pas bawa acara,neutral
Akhir dari ketidak mampuan...adalah tersisa kemampuan emosional...ğŸ˜‚ğŸ˜‚,akhir dari ketidak mampuan adalah tersisa kemampuan emosional,"['akhir', 'dari', 'ketidak', 'mampuan', 'adalah', 'tersisa', 'kemampuan', 'emosional']","['ketidak', 'mampuan', 'tersisa', 'kemampuan', 'emosional']","['tidak', 'mampu', 'sisa', 'mampu', 'emosional']",tidak mampu sisa mampu emosional,neutral
Mau komen takut banyak tukang bakso,mau komentar takut banyak tukang bakso,"['mau', 'komentar', 'takut', 'banyak', 'tukang', 'bakso']","['komentar', 'takut', 'tukang', 'bakso']","['komentar', 'takut', 'tukang', 'bakso']",komentar takut tukang bakso,neutral
silfester is nothing,silfester is nothing,"['silfester', 'is', 'nothing']","['silfester', 'nothing']","['silfester', 'nothing']",silfester nothing,neutral
"Lanjutkan bung rocky. Tenang anda aman. Sekelas abu janda dan gufron aja aman
apalagi anda orang pinter",lanjutkan bung rocky tenang anda aman sekelas abu janda dan gufron saja aman apalagi anda orang pinter,"['lanjutkan', 'bung', 'rocky', 'tenang', 'anda', 'aman', 'sekelas', 'abu', 'janda', 'dan', 'gufron', 'saja', 'aman', 'apalagi', 'anda', 'orang', 'pinter']","['lanjutkan', 'rocky', 'tenang', 'aman', 'sekelas', 'abu', 'janda', 'gufron', 'aman', 'orang', 'pinter']","['lanjut', 'rocky', 'tenang', 'aman', 'kelas', 'abu', 'janda', 'gufron', 'aman', 'orang', 'pinter']",lanjut rocky tenang aman kelas abu janda gufron aman orang pinter,neutral
cerdas tiada lwan ni bung roky . istmiwir,cerdas tiada lwan ini bung rocky istmiwir,"['cerdas', 'tiada', 'lwan', 'ini', 'bung', 'rocky', 'istmiwir']","['cerdas', 'tiada', 'lwan', 'rocky', 'istmiwir']","['cerdas', 'tiada', 'lwan', 'rocky', 'istmiwir']",cerdas tiada lwan rocky istmiwir,neutral
"Kebenaran akan tenang ,",kebenaran akan tenang,"['kebenaran', 'akan', 'tenang']","['kebenaran', 'tenang']","['benar', 'tenang']",benar tenang,neutral
